GISAID_Country	FluNet_Country	Collection_Year_Month	Flunet_ISO_WEEK_STARTDATE	#GISAID_Samples	#FluNet_Cases	#FluNet_Cases/#GISAID_Samples	200_days_#FluNet_Cases/#GISAID_Samples	Smoothed_#FluNet_Cases/#GISAID_Samples	200_days_smoothed_#FluNet_Cases/#GISAID_Samples	Yearly_Median_#FluNet_Cases/#GISAID_Samples	Accession_IDs
canada	canada	2015-07	2015-07-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2015-08	2015-08-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2015-09	2015-09-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2015-10	2015-10-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2015-11	2015-11-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2015-12	2015-12-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-01	2016-01-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-02	2016-02-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-03	2016-03-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-04	2016-04-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-05	2016-05-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-06	2016-06-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-07	2016-07-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-08	2016-08-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-09	2016-09-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-10	2016-10-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-11	2016-11-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2016-12	2016-12-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-01	2017-01-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-02	2017-02-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-03	2017-03-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-04	2017-04-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-05	2017-05-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-06	2017-06-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-07	2017-07-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-08	2017-08-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-09	2017-09-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-10	2017-10-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-11	2017-11-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2017-12	2017-12-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-01	2018-01-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-02	2018-02-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-03	2018-03-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-04	2018-04-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-05	2018-05-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-06	2018-06-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-07	2018-07-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-08	2018-08-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-09	2018-09-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-10	2018-10-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-11	2018-11-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
canada	canada	2018-12	2018-12-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
