mae	mse	rmse	r2	correlation	mean_ratio	median_ratio	valid_windows	total_windows	country	subtype	total_sequences	total_cases
0.0	0.0	0.0	1.0		0.999999998	0.9999999980000001	7	121	saint vincent and the grenadines	AH1N12009	4.0	177.0
							0	121	saint vincent and the grenadines	BYAM	0.0	0.5
0.0	0.0	0.0	1.0		0.9999999989999999	0.9999999989999999	9	121	saint vincent and the grenadines	AH3	7.0	3.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999808940879	0.9999999911578948	9	121	saint vincent and the grenadines	BVIC	11.0	8.5
0.0	0.0	0.0	1.0	1.0	0.9999999994184259	0.9999999996094032	83	121	bulgaria	AH3	290.0	1709.0
0.0	0.0	0.0	1.0	1.0	0.9999999994235534	0.9999999997473138	78	121	bulgaria	AH1N12009	321.0	2021.0
0.0	0.0	0.0	1.0	1.0	0.999999982396217	0.9999999853636365	12	121	bulgaria	BVIC	114.0	12.0
0.0	0.0	0.0	1.0	1.0	0.9999999999059965	0.9999999999619048	11	121	bulgaria	BYAM	16.0	352.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999993438585	0.9999999994823363	96	121	cambodia	AH3	670.0	1366.0
							0	121	cambodia	BVIC	133.0	0.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999993436559	0.99999999941875	98	121	cambodia	AH1N12009	572.0	1626.0
0.0	0.0	0.0	1.0	1.0	0.9999999990770283	0.9999999989999999	36	121	cambodia	BYAM	63.0	170.0
							0	121	cambodia	AOTHER_SUBTYPE	3.0	1.0
0.0	0.0	0.0	1.0	1.0	0.9999999995041172	0.9999999997638591	114	121	japan	AH3	2968.0	24432.0
0.0	0.0	0.0	1.0	1.0	0.999999982127293	0.9999999897879123	89	121	japan	BVIC	1179.0722982536142	259.59053428528887
0.0	0.0	0.0	1.0	1.0	0.9999999987107698	0.9999999997756766	61	121	japan	BYAM	664.9277017463858	7199.409465714711
0.0	0.0	0.0	1.0	1.0	0.9999999994883152	0.9999999997283489	112	121	japan	AH1N12009	3026.0	20953.0
							0	121	japan	AOTHER_SUBTYPE	0.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999992858865	0.9999999994977957	70	121	guatemala	AH1N12009	402.0	1049.0
0.0	0.0	0.0	1.0	1.0	0.9999999990868648	0.9999999993118279	105	121	guatemala	AH3	425.0	840.0
0.0	0.0	0.0	1.0	1.0	0.9999999930216328	0.9999999974999999	47	121	guatemala	BYAM	24.0	76.12261904761905
0.0	0.0	0.0	1.0	1.0	0.9999999903909953	0.9999999955809524	81	121	guatemala	BVIC	300.0	180.87738095238097
							0	121	guatemala	AOTHER_SUBTYPE	2.0	0.0
0.0	0.0	0.0	1.0	1.0	0.99999999971506	0.9999999999697006	62	121	iran	AH1N12009	284.0	20557.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999987330981	0.9999999998953069	51	121	iran	BVIC	33.5	6296.5
0.0	0.0	0.0	1.0	1.0	0.9999999997778329	0.9999999999527559	89	121	iran	AH3	192.0	16985.0
0.0	0.0	0.0	1.0	1.0	0.9999999975000872	0.9999999993597712	32	121	iran	BYAM	19.5	3079.5
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999895486567	0.9999999941439988	8	121	syrian arab republic	BVIC	14.0	45.5
0.0	0.0	0.0	1.0	1.0	0.9999999985370371	0.9999999985000001	9	121	syrian arab republic	AH1N12009	16.0	76.0
0.0	0.0	0.0	1.0	1.0	0.9999999991666666	0.9999999992499999	3	121	dominica	AH3	10.0	1.0
0.0	0.0	0.0	1.0		0.9999999980000002	0.9999999980000001	3	121	dominica	BYAM	0.0	1.5
0.0	0.0	0.0	1.0	1.0	0.9999999988811112	0.99999999875	15	121	dominica	AH1N12009	7.0	22.0
							0	121	dominica	BVIC	2.0	1.5
0.0	0.0	0.0	1.0	1.0	0.9999999993636125	0.9999999995	53	121	jamaica	AH3	141.0	501.0
0.0	0.0	0.0	1.0	1.0	0.9999999995087686	0.9999999995280898	77	121	jamaica	AH1N12009	209.0	948.0
0.0	0.0	0.0	1.0	1.0	0.9999999893248818	0.9999999945932204	37	121	jamaica	BVIC	50.0	43.91666666666667
0.0	0.0	0.0	1.0	1.0	0.99999999873659	0.9999999991335544	30	121	jamaica	BYAM	30.0	71.08333333333334
0.0	0.0	0.0	1.0	1.0	0.9999999990700518	0.9999999999140705	101	121	norway	BVIC	1034.0	36719.09104034208
0.0	0.0	0.0	1.0	1.0	0.9999999996711492	0.9999999998489904	115	121	norway	AH3	2147.0	15252.0
0.0	0.0	0.0	1.0	1.0	0.9999999997863703	0.9999999999268503	61	121	norway	BYAM	232.0	19435.90895965792
0.0	0.0	0.0	1.0	1.0	0.9999999995823728	0.999999999804855	112	121	norway	AH1N12009	1887.0	16064.0
0.0	0.0	0.0	1.0	1.0	0.9999999990608438	0.9999999993333333	87	121	greece	AH3	274.0	1723.0
0.0	0.0	0.0	1.0	1.0	0.9999999995045622	0.999999999758674	71	121	greece	AH1N12009	305.0	2791.0
0.0	0.0	0.0	1.0	1.0	0.9999999945803492	0.9999999998180936	20	121	greece	BYAM	40.0	346.16666666666663
0.0	0.0	0.0	1.0	1.0	0.9999999919693747	0.9999999983946489	59	121	greece	BVIC	87.0	585.8333333333333
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999882961218	0.9999999991948012	82	121	ukraine	BVIC	619.0	5393.086399316322
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999993110963	0.9999999997088079	79	121	ukraine	AH1N12009	775.0	4043.0
0.0	0.0	0.0	1.0	1.0	0.9999999992233333	0.9999999993914872	84	121	ukraine	AH3	678.0	2420.0
0.0	0.0	0.0	1.0	1.0	0.9999999976590861	0.9999999995400242	26	121	ukraine	BYAM	24.0	316.91360068367743
0.0	0.0	0.0	1.0	1.0	0.9999999995145004	0.9999999997464286	94	121	colombia	AH3	224.0	4565.0
0.0	0.0	0.0	1.0	1.0	0.9999999984233913	0.9999999993953623	48	121	colombia	BYAM	26.0	676.7698412698412
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999936629677	0.9999999977100529	58	121	colombia	BVIC	82.0	445.2301587301587
0.0	0.0	0.0	1.0	1.0	0.999999999244656	0.9999999998549337	80	121	colombia	AH1N12009	244.0	5164.0
							0	121	unknown	AH1N12009	46.0	0.0
							0	121	unknown	AH3	101.0	0.0
							0	121	unknown	BVIC	29.0	0.0
							0	121	unknown	BYAM	4.0	0.0
							0	121	unknown	AH7N9	1.0	0.0
