subtype	country	data_type	mean_weighted_location	std_weighted_location	min_weighted_location	max_weighted_location	trend_slope	data_points	smoothing_effect
AH1N12009	afghanistan	original	0.9045211473018959	4.348115876223584	0.0	36.0	0.014691025712547582	121	0.0
AH1N12009	afghanistan	smoothed	0.8921562740367001	1.8455110945133282	0.0	11.122795033579209	0.015779091863019182	121	2.5026047817102564
AH1N12009	albania	original	0.922288369778948	5.275959893276627	0.0	51.0	-0.007842984316438963	121	0.0
AH1N12009	albania	smoothed	0.921451353652083	2.7792393656850773	0.0	20.473745759149104	-0.0061224964682563545	121	2.49672052759155
AH1N12009	algeria	original	1.6156987652120025	13.191003100167961	0.0	144.5	0.03912243802661882	121	0.0
AH1N12009	algeria	smoothed	1.613674595253524	5.510330371786069	0.0	44.23074751792853	0.0421074924157918	121	7.680672728381892
AH1N12009	angola	original	0.0	0.0	0.0	0.0	0.0	121	0.0
AH1N12009	angola	smoothed	0.0	0.0	0.0	0.0	0.0	121	0.0
AH1N12009	anguilla	original	0.0	0.0	0.0	0.0	0.0	121	0.0
AH1N12009	anguilla	smoothed	0.0	0.0	0.0	0.0	0.0	121	0.0
AH1N12009	argentina	original	9.078860873381855	27.948343823622647	0.0	190.42857142857144	-0.07496133681681921	121	0.0
AH1N12009	argentina	smoothed	9.216831390053414	13.968770401845815	0.000197516884491	78.06005886868341	-0.06621367990936858	121	13.979573421776832
AH1N12009	armenia	original	1.9042306178669814	7.956900085801745	0.0	73.125	-0.02767001503216108	121	0.0
AH1N12009	armenia	smoothed	1.8963461747484252	3.508773956688514	0.0	21.9375	-0.024437345597039972	121	4.4481261291132315
AH1N12009	aruba	original	0.19421487603305784	2.127517372127506	0.0	23.5	-0.002865465384094296	121	0.0
AH1N12009	aruba	smoothed	0.19421487603294535	0.876185538137369	0.0	7.05	-0.002494016167643465	121	1.251331833990137
AH1N12009	australia	original	3.013754156565462	4.408595480390505	0.0	27.0	-0.03075398087745856	121	0.0
AH1N12009	australia	smoothed	3.1219917636801737	2.6762825599536257	0.0008686274581457	12.514602078343382	-0.03530914723963878	121	1.7323129204368795
AH1N12009	austria	original	1.5117225786463442	5.949423082514653	0.0	61.5	-0.004133599339547163	121	0.0
AH1N12009	austria	smoothed	1.4846243393467575	2.828764405921508	0.0	22.248976879141164	-0.0026490658467594585	121	3.120658676593145
AH1N12009	azerbaijan	original	0.0	0.0	0.0	0.0	0.0	121	0.0
AH1N12009	azerbaijan	smoothed	0.0	0.0	0.0	0.0	0.0	121	0.0
AH1N12009	bahamas	original	0.0	0.0	0.0	0.0	0.0	121	0.0
AH1N12009	bahamas	smoothed	0.0	0.0	0.0	0.0	0.0	121	0.0
AH1N12009	bahrain	original	3.398881972022468	9.928961093157417	0.0	92.33333333333331	-0.009562724717514043	121	0.0
AH1N12009	bahrain	smoothed	3.391056412769317	5.121854502940953	0.0	28.089999999999996	-0.003468375661213831	121	4.807106590216464
AH1N12009	bangladesh	original	3.1396564115030507	14.396049083742545	0.0	148.0	-0.03379925240803864	121	0.0
AH1N12009	bangladesh	smoothed	3.134103710891868	6.685902831167925	0.0	52.45780207802486	-0.028082700013394704	121	7.71014625257462
AH1N12009	barbados	original	0.6239341466614194	2.3005870910584068	0.0	20.0	0.012913169377401862	121	0.0
AH1N12009	barbados	smoothed	0.6134579964035123	1.2561738011258257	0.0	7.838745277321202	0.013562642185496826	121	1.044413289932581
AH1N12009	belarus	original	5.724517906336088	36.55542674351205	0.0	310.3333333333333	-0.16273201463216364	121	0.0
AH1N12009	belarus	smoothed	5.72451790633407	15.186410237714817	0.0	93.1	-0.15178348311741782	121	21.369016505797234
AH1N12009	belgium	original	0.9304911225717662	4.65057225312558	0.0	50.0	-0.016476613011071766	121	0.0
AH1N12009	belgium	smoothed	0.9234346152970742	2.0647737433280855	0.0	16.663326	-0.015063306596915786	121	2.585798509797495
AH1N12009	belize	original	0.09327036599763872	0.5347467039413791	0.0	4.0	-0.00035806220605028363	121	0.0
AH1N12009	belize	smoothed	0.09326922553510154	0.2409565189232541	0.0	1.5309356609999998	-0.0001797354644925206	121	0.29379018501812504
AH1N12009	bermuda	original	0.0371900826446281	0.3026418747702571	0.0	3.0	-0.000528383687847175	121	0.0
AH1N12009	bermuda	smoothed	0.037190082644599075	0.14647861209244878	0.0	0.8999999999999999	-0.000457255114484638	121	0.15616326267780833
AH1N12009	bhutan	original	1.6770640988676961	4.686946622158534	0.0	29.0	0.016655935682480378	121	0.0
AH1N12009	bhutan	smoothed	1.671971743200226	2.9230379617121116	0.0	15.046034099999998	0.019599078063697477	121	1.7639086604464227
AH1N12009	bolivia	original	5.108720053326404	28.640423356069938	0.0	305.0	-0.11627355552791765	121	0.0
AH1N12009	bolivia	smoothed	5.069434864402685	12.381253356398373	0.0	91.5	-0.10854217452306016	121	16.259169999671563
AH1N12009	bosnia and herzegovina	original	0.01652892561983471	0.18106530826617062	0.0	2.0	0.0004064489906516731	121	0.0
AH1N12009	bosnia and herzegovina	smoothed	0.016528664834079266	0.0745690397645684	0.0	0.6	0.00043804815186623846	121	0.10649626850160222
AH1N12009	brazil	original	8.782661115003496	45.704771131853256	0.0	501.11764705882354	0.18488287786546032	121	0.0
AH1N12009	brazil	smoothed	7.305016378996971	18.795061184866043	0.0011349111383889	158.9314983003989	0.12258127348398079	121	26.909709946987213
AH1N12009	british virgin islands	original	0.01652892561983471	0.18106530826617062	0.0	2.0	-5.419319875355633e-05	121	0.0
