subtype	country	data_type	mean_weighted_location	std_weighted_location	min_weighted_location	max_weighted_location	trend_slope	data_points	smoothing_effect
BYAM	afghanistan	original	0.36606978879706153	1.139569843156772	0.0	7.0	-0.007613730449050863	121	0.0
BYAM	afghanistan	smoothed	0.3660697887967851	0.7403361207746113	0.0	3.3028752648585455	-0.006913596973223835	121	0.3992337223821607
BYAM	albania	original	0.046831955922865015	0.4313384578743764	0.0	4.666666666666667	-0.0011583796233572681	121	0.0
BYAM	albania	smoothed	0.04683195592286463	0.20138298565038296	0.0	1.61	-0.0010688103087507148	121	0.22995547222399346
BYAM	algeria	original	0.07851239669421488	0.8156735908873812	0.0	9.0	-0.0019340197805175448	121	0.0
BYAM	algeria	smoothed	0.07851239669421423	0.34859970450152916	0.0	2.8049999999999997	-0.0017838594589712634	121	0.46707388638585207
BYAM	anguilla	original	0.008264462809917356	0.09053265413308528	0.0	1.0	-0.00027774014361197665	121	0.0
BYAM	anguilla	smoothed	0.00826446280991734	0.037284490984567834	0.0	0.3	-0.0002619337939755224	121	0.05324816314851745
BYAM	argentina	original	2.989405676986595	13.504596032160686	0.0	130.46153846153845	-0.075193034286631	121	0.0
BYAM	argentina	smoothed	2.989405676985244	6.887392244778517	0.0	49.869112823061435	-0.06947559173508734	121	6.617203787382169
BYAM	armenia	original	0.12672176308539945	0.7448244421830501	0.0	6.0	-0.003106512216050218	121	0.0
BYAM	armenia	smoothed	0.12672176308539823	0.45176117511000413	0.0	2.7297749999999996	-0.002864148188291317	121	0.293063267073046
BYAM	australia	original	4.181873674477398	10.824851931621591	0.0	65.98441558441559	-0.13689817349047345	121	0.0
BYAM	australia	smoothed	4.457667621036545	7.165002272596627	7.06599877133444e-07	32.99454434124498	-0.14193621774719203	121	3.659849659024964
BYAM	austria	original	1.2485936368044934	5.674596922874947	0.0	47.625	-0.034783138088378324	121	0.0
BYAM	austria	smoothed	1.2485936368041992	3.3015778319514126	0.0	23.61948122738456	-0.032395117471554394	121	2.3730190909235347
BYAM	bahrain	original	0.25392561983471074	0.7211986521375381	0.0	4.5	-0.0076328862394436136	121	0.0
BYAM	bahrain	smoothed	0.25392561983462264	0.41907067744683735	0.0	2.078	-0.007147236146868138	121	0.30212797469070074
BYAM	bangladesh	original	1.2412180543817313	5.215904725838908	0.0	49.0	-0.04010105524577834	121	0.0
BYAM	bangladesh	smoothed	1.2412180543815965	2.5658141060702677	0.0	15.56935667031818	-0.03772714093412624	121	2.6500906197686405
BYAM	barbados	original	0.18732782369146003	0.8601925617628648	0.0	6.0	-0.00541931987535564	121	0.0
BYAM	barbados	smoothed	0.18732782369145626	0.4397088857872573	0.0	2.011164575684522	-0.005061042616929545	121	0.42048367597560754
BYAM	belarus	original	0.8264462809917356	6.407224339346763	0.0	55.0	-0.019272456306733503	121	0.0
